Date,HIDATA.InIcuCum,HIDATA.InIcuCurr
2020-6-1,0,0
2020-6-2,0,0
2020-6-3,0,0
2020-6-4,0,0
2020-6-5,0,0
2020-6-6,0,0
2020-6-7,0,0
2020-6-8,0,0
2020-6-9,0,0
2020-6-10,0,0
2020-6-11,0,0
2020-6-12,0,0
2020-6-13,0,0
2020-6-14,0,0
2020-6-15,0,0
2020-6-16,0,0
2020-6-17,0,0
2020-6-18,0,0
2020-6-19,0,0
2020-6-20,0,0
2020-6-21,0,0
2020-6-22,0,0
2020-6-23,0,0
2020-6-24,0,0
2020-6-25,0,0
2020-6-26,0,0
2020-6-27,0,0
2020-6-28,0,0
2020-6-29,0,0
2020-6-30,0,0
2020-7-1,0,0
2020-7-2,0,0
2020-7-3,0,0
2020-7-4,0,0
2020-7-5,0,0
2020-7-6,0,0
2020-7-7,0,0
2020-7-8,0,0
2020-7-9,0,0
2020-7-10,0,0
2020-7-11,0,0
2020-7-12,0,0
2020-7-13,0,0
2020-7-14,0,0
2020-7-15,0,0
2020-7-16,0,0
2020-7-17,0,0
2020-7-18,0,0
2020-7-19,0,0
2020-7-20,0,0
2020-7-21,0,0
2020-7-22,0,0
2020-7-23,0,0
2020-7-24,0,0
2020-7-25,0,0
2020-7-26,0,0
2020-7-27,0,0
2020-7-28,0,0
2020-7-29,0,0
2020-7-30,0,11
2020-7-31,0,14
2020-8-1,0,15
2020-8-2,0,15
2020-8-3,0,15
2020-8-4,0,15
2020-8-5,0,15
2020-8-6,0,15
2020-8-7,0,21
2020-8-8,0,24
2020-8-9,0,24
2020-8-10,0,24
2020-8-11,0,24
2020-8-12,0,31
2020-8-13,0,33
2020-8-14,0,29
2020-8-15,0,41
2020-8-16,0,35
2020-8-17,0,35
2020-8-18,0,35
2020-8-19,0,39
2020-8-20,0,33
2020-8-21,0,29
2020-8-22,0,44
2020-8-23,0,35
2020-8-24,0,35
2020-8-25,0,35
2020-8-26,0,50
2020-8-27,0,54
2020-8-28,0,56
2020-8-29,0,55
2020-8-30,0,57
2020-8-31,0,57
2020-9-1,0,57
2020-9-2,0,48
2020-9-3,0,47
2020-9-4,0,51
2020-9-5,0,50
2020-9-6,0,50
2020-9-7,0,50
2020-9-8,0,50
2020-9-9,0,47
2020-9-10,0,53
2020-9-11,0,52
2020-9-12,0,51
2020-9-13,0,51
2020-9-14,0,53
2020-9-15,0,53
2020-9-16,0,60
2020-9-17,0,56
2020-9-18,0,51
2020-9-19,0,52
2020-9-20,0,51
2020-9-21,0,51
2020-9-22,0,51
2020-9-23,0,61
2020-9-24,0,54
2020-9-25,0,55
2020-9-26,0,55
2020-9-27,0,48
2020-9-28,0,48
2020-9-29,0,44
2020-9-30,0,44
2020-10-1,0,47
2020-10-2,0,45
2020-10-3,0,40
2020-10-4,0,39
2020-10-5,0,39
2020-10-6,0,39
2020-10-7,0,35
2020-10-8,0,35
2020-10-9,0,32
2020-10-10,0,29
2020-10-11,0,34
2020-10-12,0,34
2020-10-13,0,34
2020-10-14,0,26
2020-10-15,0,27
2020-10-16,0,23
2020-10-17,0,25
2020-10-18,0,22
2020-10-19,0,22
2020-10-20,0,22
2020-10-21,0,19
2020-10-22,0,18
2020-10-23,0,18
2020-10-24,0,18
2020-10-25,0,15
2020-10-26,0,15
2020-10-27,0,15
2020-10-28,0,15
2020-10-29,0,15
2020-10-30,0,15
2020-10-31,0,11
2020-11-1,0,8
2020-11-2,0,8
2020-11-3,0,11
2020-11-4,0,11
2020-11-5,0,11
2020-11-6,0,13
2020-11-7,0,13
2020-11-8,0,13
2020-11-9,0,13
2020-11-10,0,22
2020-11-11,0,16
2020-11-12,0,16
2020-11-13,0,16
2020-11-14,0,14
2020-11-15,0,16
2020-11-16,0,18
2020-11-17,0,15
2020-11-18,0,19
2020-11-19,0,23
2020-11-20,0,23
2020-11-21,0,23
2020-11-22,0,23
2020-11-23,0,23
2020-11-24,0,17
2020-11-25,0,16
2020-11-26,0,17
2020-11-27,0,17
2020-11-28,0,17
2020-11-29,0,17
2020-11-30,0,17
2020-12-1,0,24
2020-12-2,0,19
2020-12-3,0,20
2020-12-4,0,14
2020-12-5,0,14
2020-12-6,0,14
2020-12-7,0,14
2020-12-8,0,17
2020-12-9,0,16
2020-12-10,0,18
2020-12-11,0,19
2020-12-12,0,21
2020-12-13,0,21
2020-12-14,0,21
2020-12-15,0,17
2020-12-16,0,19
2020-12-17,0,14
2020-12-18,0,14
2020-12-19,0,14
2020-12-20,0,14
2020-12-21,0,15
2020-12-22,0,15
2020-12-23,0,14
2020-12-24,0,14
2020-12-25,0,11
2020-12-26,0,11
2020-12-27,0,11
2020-12-28,0,23
2020-12-29,0,14
2020-12-30,0,14
2020-12-31,0,16
2021-1-1,0,11
2021-1-2,0,11
2021-1-3,0,11
2021-1-4,0,11
2021-1-5,0,18
2021-1-6,0,21
2021-1-7,0,24
2021-1-8,0,24
2021-1-9,0,24
2021-1-10,0,24
2021-1-11,0,25
2021-1-12,0,26
2021-1-13,0,26
2021-1-14,0,24
2021-1-15,0,20
2021-1-16,0,20
2021-1-17,0,20
2021-1-18,0,20
2021-1-19,0,13
2021-1-20,0,21
2021-1-21,0,23
2021-1-22,0,21
2021-1-23,0,21
2021-1-24,0,21
2021-1-25,0,21
2021-1-26,0,21
2021-1-27,0,22
2021-1-28,0,20
2021-1-29,0,20
2021-1-30,0,19
2021-1-31,0,19
2021-2-1,0,16
2021-2-2,0,19
2021-2-3,0,21
2021-2-4,0,19
2021-2-5,0,17
2021-2-6,0,17
2021-2-7,0,17
2021-2-8,0,22
2021-2-9,0,16
2021-2-10,0,16
2021-2-11,0,14
2021-2-12,0,13
2021-2-13,0,13
2021-2-14,0,13
2021-2-15,0,13
2021-2-16,0,14
2021-2-17,0,12
2021-2-18,0,12
2021-2-19,0,11
2021-2-20,0,11
2021-2-21,0,11
2021-2-22,0,24
2021-2-23,0,7
2021-2-24,0,6
2021-2-25,0,5
2021-2-26,0,3
2021-2-27,0,3
2021-2-28,0,3
2021-3-1,0,3
2021-3-2,0,6
2021-3-3,0,7
2021-3-4,0,5
2021-3-5,0,5
2021-3-6,0,5
2021-3-7,0,5
